date,rent,food_at_home,gas,auto_insurance,cc_interest,dining_out,utilities,used_cars,eggs,home_insurance,quarterly_reserve,mortgage_payment,dri,cpi
2000-01-01,52.29492448268353,67.88194373149469,50.585811009714455,44.55444679248185,86.5868263473054,57.82725835849442,59.81161309362779,110.38271746614643,66.73511293634496,67.70203172210432,,82.46760348519912,58.007353703202874,65.33475863186777
2000-02-01,52.52721731769823,68.21047098488364,54.04768913747425,44.55444679248185,85.62874251497007,57.96560108184009,60.54942082093406,109.73720449850815,65.84531143052703,67.70203172210432,,81.97213045397389,58.32440227896629,65.60489644074141
2000-03-01,52.643363735205575,68.33366870490451,59.513296045530375,44.60688435245731,86.54690618762476,58.06935812434936,60.647795184574896,109.73720449850815,63.723477070499655,67.83426225281156,,81.47665742274863,58.89646919288964,65.99080759627518
2000-04-01,52.8175833614666,68.41580051825174,57.491904621725055,44.69428028574974,87.46506986027946,58.13852948602219,60.89373109367698,110.45444112921734,64.27104722792608,68.16483857957964,,80.98118439152339,58.80389791772795,65.9522164807218
2000-05-01,52.93372977897395,68.74432777164071,58.357374153665006,44.79915540570067,88.38323353293414,58.207700847695044,60.89373109367698,111.45857241221024,58.31622176591375,68.62764543705497,,81.89430013364142,59.008401746425726,66.06798982738194
2000-06-01,53.07891280085813,68.78539367831434,64.10558335786479,44.78167621904217,89.60079840319362,58.3114578902043,62.46772091193035,111.67374340142298,57.35797399041752,68.69376070240858,,82.80741587575947,59.87549308330149,66.4539009829157
2000-07-01,53.253132427119155,69.19605274505052,60.877244627612605,44.79915540570067,90.8183632734531,58.48438629438639,63.54983891197953,111.38684874913932,59.411362080766594,68.89210649846943,,83.7205316178775,59.91496273460012,66.6468565606826
2000-08-01,53.456388657757,69.40138227841864,57.48209204199786,44.95646808562703,92.03592814371258,58.62272901773208,63.4514645483387,111.31512508606838,61.12251882272416,68.7598759677622,,83.4552933553152,59.732315655834306,66.6468565606826
2000-09-01,53.65964488839487,69.44244818509226,60.84780688843098,45.061343205577955,91.81636726546905,58.795657421914186,64.68114409384914,112.0323617167776,62.97056810403833,68.89210649846943,,83.19005509275293,60.24245613869959,66.994176600663
2000-10-01,53.83386451465589,69.40138227841864,60.139338632126396,45.11378076555342,91.59680638722556,58.89941446442344,65.81244927571875,113.25166398898325,63.175906913073234,68.89210649846943,,82.92481683019062,60.25533372895707,67.10994994732312
2000-11-01,54.03712074529376,69.48351409176587,59.552546364439216,45.21865588550433,91.37724550898204,58.93400014525986,65.66488773025749,114.25579527197614,61.738535249828885,69.09045229453028,,80.46595195890606,59.9491809371925,67.22572329398325
2000-12-01,54.21134037155478,69.89417315850208,56.628397605730555,45.35848937877223,90.11976047904191,59.072342868605546,67.18969036669044,114.9013082396144,65.63997262149212,69.22268282523751,,78.0070870876215,59.584345546760595,67.38008775619676
2001-01-01,54.414596602192645,69.97630497184932,56.8030615248749,45.55076043201558,88.8622754491018,59.27985695362407,72.20678291237303,115.04475556575626,69.19917864476385,69.42102862129836,,75.54822221633692,59.59907414747199,67.76599891173053
