date,mich,dri_yoy_pct,gap_pp,gap_z,partisan_flag
2008-10-31,3.9,2.2029845496067013,1.6970154503932986,1.8287726831682956,1
2008-11-30,2.9,-5.023978168464616,7.9239781684646164,4.126228968920989,1
2008-12-31,1.7,-8.242164670149954,9.942164670149953,4.122146939028421,1
2009-01-31,2.2,-8.492843682616735,10.692843682616736,3.755535151776998,1
2009-02-28,1.9,-7.95660984878217,9.85660984878217,3.1306343243916213,1
2009-03-31,2.0,-9.285286435434092,11.285286435434092,3.1628835474030366,1
2009-04-30,2.8,-9.478529468243169,12.278529468243168,3.0750310137450914,1
2009-05-31,2.8,-10.251656100129125,13.051656100129126,2.958788707198241,1
2009-06-30,3.1,-9.69969672550418,12.79969672550418,2.6733160353552625,1
2009-07-31,2.9,-10.920849578734938,13.820849578734938,2.6589574057861665,1
2009-08-31,2.8,-8.235549726450985,11.035549726450984,2.0040644110702006,1
2009-09-30,2.2,-8.394458787719339,10.59445878771934,1.8296496181541568,1
2009-10-31,2.9,-4.694155827081925,7.594155827081925,1.2359911536697572,1
2009-11-30,2.7,2.2080856220730416,0.4919143779269586,-0.06436154406495392,0
2009-12-31,2.5,6.192933948912649,-3.692933948912649,-0.8215596801641584,0
2010-01-31,2.8,7.491356032001195,-4.691356032001195,-0.9882292648021876,0
2010-02-28,2.7,6.678307656315496,-3.978307656315496,-0.8503184402272368,0
2010-03-31,2.7,7.303760632673129,-4.603760632673128,-0.9479148928041766,0
2010-04-30,2.9,6.560852264412831,-3.660852264412831,-0.7743909430393155,0
2010-05-31,3.2,4.867970176817837,-1.6679701768178372,-0.4178947102080964,0
2010-06-30,2.8,1.535234448211531,1.2647655517884688,0.09780833220797727,0
2010-07-31,2.7,1.8779670719224928,0.8220329280775074,0.008091640971677673,0
2010-08-31,2.7,0.934634165244308,1.7653658347556922,0.16058398811470595,0
2010-09-30,2.2,1.7316038838699033,0.4683961161300969,-0.09589627954754784,0
2010-10-31,2.7,1.2384504266596652,1.461549573340335,0.06848247932202443,0
2010-11-30,3.0,1.3709118937015763,1.6290881062984237,0.08575835640805758,0
2010-12-31,3.0,2.435375541558771,0.5646244584412292,-0.12472403093870785,0
2011-01-31,3.4,2.4411655576881186,0.9588344423118813,-0.06997418924958251,0
2011-02-28,3.4,3.1100273704322667,0.2899726295677332,-0.20914682380488273,0
2011-03-31,4.6,4.710972723527163,-0.11097272352716292,-0.2982341725372901,0
2011-04-30,4.6,5.8783308011221,-1.2783308011221006,-0.5323394060142135,0
2011-05-31,4.1,7.348972469158599,-3.2489724691585993,-0.9161929489203584,0
2011-06-30,3.8,6.922230606391633,-3.122230606391633,-0.9026811309951746,0
2011-07-31,3.4,6.964989083730599,-3.5649890837305995,-0.9936416839290095,0
2011-08-31,3.5,6.942431989233655,-3.442431989233655,-0.961242061503225,0
2011-09-30,3.3,6.98258485608152,-3.6825848560815198,-0.979384856517003,0
2011-10-31,3.2,6.129320884661671,-2.9293208846616707,-0.8096456913655123,0
2011-11-30,3.2,4.640421557057195,-1.4404215570571948,-0.5159160499180627,0
2011-12-31,3.1,3.014350121453746,0.08564987854625405,-0.22625071615710535,0
2012-01-31,3.3,3.0434708458507043,0.25652915414929556,-0.19068800389879026,0
2012-02-29,3.3,3.091457200841208,0.20854279915879204,-0.20021923294766653,0
2012-03-31,3.9,2.326560687369894,1.5734393126301058,0.05603180078855516,0
2012-04-30,3.2,1.414722360780618,1.785277639219382,0.0944568558122112,0
2012-05-31,3.0,-0.14288148233271292,3.142881482332713,0.3445769755890341,0
2012-06-30,3.1,0.2275307544425509,2.872469245557449,0.2852489350590854,0
2012-07-31,3.0,-0.007650888493748731,3.0076508884937487,0.30328106066957683,0
2012-08-31,3.6,2.123736010956434,1.476263989043566,0.009443806715651438,0
2012-09-30,3.3,2.2798223082391766,1.0201776917608232,-0.08605947113689749,0
2012-10-31,3.1,3.267655057601404,-0.16765505760140398,-0.32418040639932,0
2012-11-30,3.1,2.157469142271018,0.9425308577289822,-0.12585672787849797,0
2012-12-31,3.2,2.0244493205916037,1.1755506794083965,-0.09219155998264994,0
2013-01-31,3.3,1.0321480710744568,2.267851928925543,0.10603949659997462,0
2013-02-28,3.3,2.610461798742514,0.689538201257486,-0.2121661797043375,0
2013-03-31,3.2,1.4364010862307763,1.7635989137692238,-0.011274153590333682,0
2013-04-30,3.1,0.3925202174565712,2.707479782543429,0.16378427690649555,0
2013-05-31,3.1,2.0909279114767143,1.0090720885232858,-0.17673660164707083,0
